ID_DIA,ID_LOJA,ID_POS,NOME_LOJA,DESC_STORE2,ZONA_REGION,DESC_REGIAO,DESC_CITY,MORADA,UNIDAD_DE_NEGOCIO,VALOR_PV,TOTAL_TRANSACCIONES_SIN_CLIENTE,TOTAL_TRANSACCIONES_CLIENTE_ID,TOTAL_TRANSACCIONES_CLIENTE_FE,TOTAL_TRANSACCIONES_CLIENTE_EMPLEADO,TOTAL_TRANSACCIONES_CLIENTE_FIADO,CLIENTE_OK,CLIENTE_ERRADO,TOTAL_POS,TOTAL_TRANSACCIONES_CON_CLIENTE,COBERTURA_ID,COBERTURA_NO_ID,COBERTURA_ERRADOS,TOTAL_ACUMULADO,TOTAL_ID_ACUMULADO,COBERTURA_TOTAL_ID
2024-02-28,1145,003,ORITO SAN CARLOS,ORITO SAN CARLOS,OCCIDENTE,REGION 7,Orito,CL 8 # 13-57,BdC,6257260.655462185,14,72,1,0,0,67,5,87,73,0.8390804597701149,0.16091954022988506,0.05747126436781609,19531,10316,0.528185960780298
2024-02-28,1155,003,TURBACO TRONCAL,TURBACO TRONCAL,NORTE,REGION 2,Turbaco,CR 15 # 24-91,BdC,238948.1344537815,0,11,0,0,0,11,0,11,11,1.0,0.0,0.0,19531,10316,0.528185960780298
2024-02-28,1038,003,SAN JOSE DE GUAVIARE MCDO LA E,SAN JOSE DE GUAVIARE,CENTRO,REGION 3,San Jose del Guaviar,CR 20 #10-63,BdC,56996934.0,118,71,0,1,0,49,16,190,72,0.37894736842105264,0.6210526315789474,0.08421052631578947,19531,10316,0.528185960780298
2024-02-28,1303,003,EL BANCO BDC MERCADO CENTRO,EL BANCO MRCD CENTRO,NORTE,REGION 6,El Banco,CR 2A #12-32,BdC,1033666.8627450981,4,24,0,0,0,22,1,28,24,0.8571428571428571,0.14285714285714285,0.03571428571428571,19531,10316,0.528185960780298
2024-02-28,0840,001,PALMIRA MERCADO,PALMIRA MERCADO,OCCIDENTE,REGION 8,Palmira,CR 26 #28-25 L8,BdC,2172014.588235294,19,77,0,0,0,68,5,96,77,0.8020833333333334,0.19791666666666666,0.052083333333333336,19531,10316,0.528185960780298
2024-02-28,1117,002,RIONEGRO MERCADO CENTRO,RIONEGRO MERCADO CEN,ANTIOQUIA,REGION 9,Rionegro,CL 55 # 43-75,BdC,9822040.344537815,64,22,0,1,0,22,0,87,23,0.26436781609195403,0.735632183908046,0.0,19531,10316,0.528185960780298
2024-02-28,1303,001,EL BANCO BDC MERCADO CENTRO,EL BANCO MRCD CENTRO,NORTE,REGION 6,El Banco,CR 2A #12-32,BdC,6983080.450980392,121,69,0,0,0,61,8,190,69,0.3631578947368421,0.6368421052631579,0.042105263157894736,19531,10316,0.528185960780298
2024-02-28,1303,002,EL BANCO BDC MERCADO CENTRO,EL BANCO MRCD CENTRO,NORTE,REGION 6,El Banco,CR 2A #12-32,BdC,6246089.257703081,79,38,1,0,0,36,2,118,39,0.3305084745762712,0.6694915254237288,0.01694915254237288,19531,10316,0.528185960780298
2024-02-28,0983,002,YUMBO CENTRO,YUMBO CENTRO,OCCIDENTE,REGION 8,Yumbo,CL 10 # 2-03,BdC,3706960.5518207285,24,34,0,3,0,29,8,61,37,0.6065573770491803,0.39344262295081966,0.13114754098360656,19531,10316,0.528185960780298
2024-02-28,0983,003,YUMBO CENTRO,YUMBO CENTRO,OCCIDENTE,REGION 8,Yumbo,CL 10 # 2-03,BdC,5809324.94117647,17,17,0,2,0,15,2,36,19,0.5277777777777778,0.4722222222222222,0.05555555555555555,19531,10316,0.528185960780298
2024-02-28,0738,003,ARMENIA MERCAR,ARMENIA MERCAR,OCCIDENTE,REGION 1,Armenia,CL 30  A # 60-01,BdC,1258950.2829131652,0,36,0,0,0,28,5,36,36,1.0,0.0,0.1388888888888889,19531,10316,0.528185960780298
2024-02-28,0983,001,YUMBO CENTRO,YUMBO CENTRO,OCCIDENTE,REGION 8,Yumbo,CL 10 # 2-03,BdC,3874888.725490196,100,34,0,3,0,34,0,137,37,0.27007299270072993,0.7299270072992701,0.0,19531,10316,0.528185960780298
2024-02-28,0738,002,ARMENIA MERCAR,ARMENIA MERCAR,OCCIDENTE,REGION 1,Armenia,CL 30  A # 60-01,BdC,1536374.5378151261,7,30,0,1,0,20,10,38,31,0.8157894736842105,0.18421052631578946,0.2631578947368421,19531,10316,0.528185960780298
2024-02-28,0738,001,ARMENIA MERCAR,ARMENIA MERCAR,OCCIDENTE,REGION 1,Armenia,CL 30  A # 60-01,BdC,10868623.731092436,37,143,5,0,0,90,40,185,148,0.8,0.2,0.21621621621621623,19531,10316,0.528185960780298
2024-02-28,0854,002,FLORENCIA MERCADO,FLORENCIA MERCADO,OCCIDENTE,REGION 7,Florencia,LT CR 14 CL 17,BdC,17243916.42577031,49,73,0,3,0,70,4,125,76,0.608,0.392,0.032,19531,10316,0.528185960780298
2024-02-28,0854,001,FLORENCIA MERCADO,FLORENCIA MERCADO,OCCIDENTE,REGION 7,Florencia,LT CR 14 CL 17,BdC,12348619.25490196,310,81,0,3,0,76,8,394,84,0.2131979695431472,0.7868020304568528,0.02030456852791878,19531,10316,0.528185960780298
2024-02-28,0752,003,FONSECA TRONCAL CALLE 13,FONSECA TRONCAL C13,NORTE,REGION 10,Fonseca,CL 13 # 15-75,BdC,877714.2857142857,0,1,0,0,0,1,0,1,1,1.0,0.0,0.0,19531,10316,0.528185960780298
